property_type,place_with_parent_names,lat-lon,area_m2,price_usd
HOUSE,Mexico|Baja California|Mexicali,"30.71664564656226,-115.1847003142028",306.7,512484.93
Departamento,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.52753118719232,-99.41719744816552",93.3,"$101,928.42"
Townhouse,Mexico|Distrito Federal|Tlalpan,"18.999217200551456,-99.57177953245629",334.5,111016.19
Apartment,Mexico|Guanajuato|Celaya,"20.604903623941166,-101.27289506061692",147.0,98821.89
,Mexico|Yucatan|Valladolid,"21.18847484602017,-89.77116558234012",387.3,
Apartamento,Mexico|Puebla|Cholula,"18.675196695644058,-98.68887335402168",253.6,"$143,079.85"
Condo,Mexico|Jalisco|Guadalajara,"20.709346018528674,-102.93429602903382",-395.0,350611.97
House,Mexico|Oaxaca|Huatulco,"17.19798928824633,-96.80531269989777",254.4,230249.96
townhouse,Mexico|Distrito Federal|Tlalpan,"19.34108821474133,-98.51382072048766",251.1,"$340,100.13"
Apartamento,Mexico|Distrito Federal|Tlalpan,"18.883498827131177,-99.7452525687216",180.9,211324.0
,Mexico|Guanajuato|Irapuato,"21.429431318311178,-100.77137812162013",255.2,377407.0
Condo,Mexico|Baja California|Mexicali,"30.313744235387503,-114.98793295573203",131.9,206257.73
Condo,Mexico|Coahuila|Monclova,"27.773674507292274,-101.66085413296965",229.7,
Terreno,,"19.039050906746922,-89.13123359232702",223.2,188626.28
house,Mexico|Oaxaca|Oaxaca de Juarez,"16.68757601476728,-96.8944385780916",298.6,"$184,715.06"
,Mexico|Sonora|Ciudad Obregon,"28.639639226715307,-110.90955253848571",150.5,"$252,749.69"
townhouse,Mexico|Jalisco|Tlaquepaque,"20.971413562857446,-102.59209033227867",79.1,132839.41
,Mexico|Guanajuato|Celaya,"20.25198841714309,-101.88915757162123",275.9,255251.48
house,Mexico|Chiapas|San Cristobal de las Casas,"16.789865249238698,-93.01814680785994",198.1,181254.95
,Mexico|Nuevo Leon|Guadalupe,"25.91170315261675,-99.86241308344847",366.9,346288.2
Terreno,Mexico|Guanajuato|Leon,"20.46667247047881,-101.93602964514163",368.1,112277.33
Condo,Mexico|Chiapas|San Cristobal de las Casas,"16.4101639161498,-93.47943748226074",262.7,338580.36
Apartamento,Mexico|Puebla|Atlixco,"18.2699097436916,-98.95548307885562",105.4,120890.84
Villa,Mexico|Chiapas|Tuxtla Gutierrez,"16.43260477815475,-92.66834464055069",,"$150,604.25"
Departamento,Mexico|Chiapas|San Cristobal de las Casas,"16.15070485690773,-92.7031349713182",227.5,187397.62
Townhouse,Mexico|Oaxaca|Huatulco,"17.14124964554307,-96.12965518947675",4732.3,2581703.78
Villa,Mexico|Puebla|Puebla de Zaragoza,"18.82791240159626,-98.5785121497889",119.0,182527.75
Departamento,Mexico|Distrito Federal|Coyoacan,"18.987990648169045,-98.94003099918461",,74702.64
Departamento,Mexico|Jalisco|Puerto Vallarta,"20.801526297878596,-103.35744417776831",343.7,599838.06
Terreno,Mexico|Veracruz|Xalapa,"19.05887245121196,-95.48370154847245",388.7,512977.68
Townhouse,Mexico|Sonora|Ciudad Obregon,"30.025812634294187,-109.57717999154157",239.5,"$144,036.76"
HOUSE,Mexico|Nuevo Leon|Monterrey,,,"$62,053.10"
,Mexico|Veracruz|Veracruz,"19.872942396749167,-95.46870052744906",300.7,359074.0
Terreno,Mexico|Baja California,"31.09026092575699,-115.8750564597587",6765.4,4700048.79
Townhouse,Mexico|Baja California|Tijuana,"31.002789888008927,-115.16651663409647",345.8,"$376,809.97"
villa,Mexico|Baja California|Ensenada,"30.27832147107478,-116.0087243510991",169.5,
,Mexico|Guanajuato|San Miguel de Allende,,257.7,"$357,942.26"
house,Mexico|Coahuila|Torreon,"26.861970343167435,-101.71059213410409",105.3,155438.31
townhouse,Mexico|Baja California|Ensenada,"30.095475702601433,-115.77074716462079",,226937.41
Departamento,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.63721121193597,-99.95869218481103",308.7,223209.4
,Mexico|Oaxaca|Huatulco,"17.810050871605814,-96.56062183833659",337.3,
House,Mexico|Quintana Roo|Cancun,"18.819638344336877,-89.13155778041165",74.6,
land,Mexico|Oaxaca|Puerto Escondido,"17.52260693941651,-97.32951883113127",46.9,35806.07
Apartment,Mexico|Nuevo Leon|Guadalupe,"25.79356237012465,-99.33060513042983",441.9,793553.8
Land,Mexico|Veracruz|Xalapa,"18.78221449014496,-96.59241521423306",140.4,132906.96
Terreno,Mexico|Coahuila|Monclova,"27.37700738359683,-101.44893573163289",65.6,40643.34
Villa,Mexico|Sonora|Hermosillo,"29.181781689264856,-110.99207958208152",225.9,95854.75
Townhouse,Mexico|Chihuahua|Chihuahua,"29.205082862510025,-106.24850783544731",436.1,206651.43
townhouse,Mexico|Yucatan|Progreso,"20.562272862401148,-89.48491488625505",163.0,246472.47
Terreno,Mexico|Chiapas|San Cristobal de las Casas,"16.117078398988497,-92.54726630142189",362.5,287674.64
Condo,Mexico|Chiapas|San Cristobal de las Casas,"17.54724562049068,-92.88586429404054",446.3,145748.9
townhouse,Mexico|Baja California|Rosarito,"31.462078346476048,-115.12742571854176",448.7,340988.62
Departamento,Mexico|Puebla|Puebla de Zaragoza,"19.097863695397727,-98.79397318637794",312.9,423276.24
,Mexico|Michoacan|Uruapan,"19.69925176826584,-102.06891168492042",85.3,57400.74
Townhouse,Mexico|Chihuahua|Delicias,"28.523688577761636,-105.92663645176783",105.9,68413.12
Terreno,Mexico|Quintana Roo|Cozumel,"19.935387506346526,-88.82937403686888",190.3,116883.83
condo,Mexico|Yucatan|Merida,"20.086312750248847,-88.6722939189024",317.0,325653.84
Condo,Mexico|Jalisco|Guadalajara,"20.872424657510237,-103.17150804320201",226.0,395440.09
Land,Mexico|Quintana Roo|Tulum,"18.56250539494596,-88.32189277224641",108.0,143504.3
Apartamento,Mexico|Baja California|Mexicali,"31.27445748300341,-115.31139603896933",49.7,23338.58
Apartment,Mexico|Yucatan|Merida,"19.98316740107895,-89.0400043967299",266.6,149157.9
House,Mexico|Oaxaca|Huatulco,"17.35296259915917,-97.18602418289586",192.6,128635.32
Condo,Mexico|Chihuahua|Ciudad Juarez,"27.876949285637796,-105.96229592564468",262.8,360837.35
apartment,Mexico|Jalisco|Puerto Vallarta,"20.870001416599205,-102.56950127967971",345.3,226883.18
House,Mexico|Puebla|Cholula,"19.02198157483506,-98.40338090472108",87.6,89048.0
condo,Mexico|Jalisco|Tlaquepaque,"19.93440122800891,-103.89128656202975",4053.1,1998167.09
House,Mexico|Jalisco|Guadalajara,"21.136075137909693,-103.23153980442571",307.6,278266.5
HOUSE,Mexico|Veracruz|Xalapa,"19.576964952733835,-95.73308176625835",287.3,144433.68
land,Mexico|Puebla|Cholula,"18.706861471855152,-98.8745602970637",212.7,177479.46
Condo,Mexico|Puebla|Puebla de Zaragoza,"18.61064782592451,-98.51235465370203",258.5,264367.87
land,Mexico|Puebla|Puebla de Zaragoza,"19.35339825377635,-97.53078097400882",393.5,559097.38
Casa,Mexico|Baja California|Mexicali,"30.46471749130071,-116.06020850710877",55.1,24046.69
Terreno,Mexico|Veracruz|Xalapa,"19.688516819575593,-95.69073140837715",393.3,376786.57
Departamento,Mexico|Yucatan|Valladolid,"21.116006868980786,-88.84632265287183",404.5,153939.26
townhouse,Mexico|Quintana Roo|Cancun,"19.511313196960156,-87.84982240449888",189.3,122323.5
apartment,Mexico|SONORA|hermosillo,"29.668776270690152,-110.073537088843",433.4,479186.56
land,Mexico|Baja California|Ensenada,"30.22330429630974,-115.99507750939307",-59.0,473099.72
Casa,Mexico|Baja California|Ensenada,"30.3246260507883,-115.90752979967284",304.2,138202.26
,Mexico|Baja California|Mexicali,"31.055278237862247,-115.61059792128484",79.2,118214.78
house,Mexico|Coahuila|Monclova,"26.336149785975895,-101.67539294509183",288.6,162806.47
House,Mexico|Guanajuato|Leon,"20.477293078844937,-100.6329220790079",219.2,259520.72
Casa,Mexico|Michoacan|Patzcuaro,"20.32696970307834,-101.4589503927125",35.2,50438.42
Apartment,Mexico|Sonora|Hermosillo,"29.63992921311727,-109.5530073533525",409.2,452809.11
Apartamento,Mexico|Quintana Roo|Cozumel,"19.3231514686667,-88.01091758043768",376.3,232886.91
House,Mexico|Chihuahua|Delicias,"29.115877698487033,-106.02686698624176",184.7,"$240,911.94"
Land,Mexico|Jalisco|Puerto Vallarta,"20.23957756957127,-103.38535431376222",78.2,107150.82
Villa,Mexico|Quintana Roo|Cozumel,"18.424101871167107,-88.83708513422906",270.6,421442.93
,Mexico|Jalisco|Zapopan,"20.126934510734554,-102.84307922633897",261.2,390901.72
Casa,Mexico|Oaxaca|Huatulco,"16.68786277680238,-97.4147966243729",,498916.22
,Mexico|Quintana Roo|Cancun,"18.400257719957786,-88.58154817866449",378.8,185455.84
Terreno,Mexico|Michoacan|Morelia,"18.988453716095417,-101.17445641048373",179.5,183257.48
HOUSE,Mexico|Veracruz|Coatzacoalcos,"19.96420507558355,-95.69373188569745",40.0,24119.51
apartment,Mexico|Puebla|Atlixco,"18.70617365012883,-98.14226027967145",42.1,38018.69
Condo,Mexico|Chiapas|San Cristobal de las Casas,"17.512687885348974,-93.89518329672869",211.3,375218.85
Casa,Mexico|Chihuahua|Ciudad Juarez,"27.876942601175468,-106.07527488194707",373.5,294060.38
HOUSE,Mexico|Chiapas|San Cristobal de las Casas,"16.657835382601803,-92.76385270173061",43.0,25360.48
Terreno,Mexico|Yucatan|Progreso,"20.17971411722869,-88.41561246157431",190.4,329886.68
apartment,Mexico|Baja California|Tijuana,"30.88889602714333,-115.43838408566788",78.6,"$63,981.92"
house,Mexico|Distrito Federal|Coyoacan,"19.512991757391337,-98.94828960612618",203.1,213000.66
HOUSE,Mexico|Sonora|Ciudad Obregon,"29.458493321768938,-110.83821830189405",322.3,151866.83
House,Mexico|Jalisco|Puerto Vallarta,"21.241266859636823,-103.3261825575921",331.7,240990.06
Departamento,Mexico|Nuevo Leon|Apodaca,"25.899624130874827,-99.42027313941146",77.4,123260.96
townhouse,Mexico|Nuevo Leon|Apodaca,"26.370541919879365,-100.25729261712159",-295.7,99046.82
Departamento,Mexico|Veracruz|Xalapa,"19.738019238385675,-95.83400901956438",235.6,269128.23
Casa,Mexico|Coahuila|Saltillo,"26.88124717948841,-101.44783428162087",165.8,218101.11
townhouse,Mexico|Coahuila|Torreon,"26.56112094432826,-102.04739935482286",433.7,555394.26
house,Mexico|Chihuahua|Delicias,"28.507009137194736,-106.3910614513797",-182.5,262671.95
Land,Mexico|Guanajuato|Irapuato,"20.4063660898711,-101.78048306029781",-79.5,308062.9
Apartamento,Mexico|Chihuahua|Ciudad Juarez,"28.392664667546928,-106.59708478032562",429.1,740848.37
,Mexico|Quintana Roo|Cozumel,"19.201645391576463,-88.57930349921845",198.4,261925.28
,Mexico|Baja California|Mexicali,"30.279026973704394,-115.55721036188133",243.5,"$292,883.09"
Apartamento,Mexico|Yucatan|Valladolid,"20.095478026936924,-89.36223359147532",317.3,"$250,355.24"
villa,Mexico|Quintana Roo|Cancun,"18.800890654677865,-87.71628339851507",230.9,275015.95
land,Mexico|Chihuahua|Delicias,"29.290988289844464,-106.66456837965609",325.6,103964.12
townhouse,Mexico|Jalisco|Tlaquepaque,"21.30519063292836,-103.40977645331735",91.4,121598.34
villa,Mexico|Nuevo Leon|Guadalupe,"25.696618812389175,-100.16871327913576",254.9,"$174,264.01"
villa,Mexico|Coahuila|Monclova,"27.11805999598528,-102.19528150782494",364.5,166555.37
House,Mexico|Chiapas|San Cristobal de las Casas,"16.96909611341137,-93.22570101913345",222.7,290676.99
Land,Mexico|Quintana Roo|Cozumel,"19.570867227116807,-88.64813312095453",432.4,728890.0
villa,Mexico|Puebla|Atlixco,"18.816262851947634,-98.43884229031708",247.3,208684.54
townhouse,Mexico|Chiapas|Tuxtla Gutierrez,"16.75477475707111,-92.66732799330504",306.3,"$135,863.14"
HOUSE,Mexico|Baja California|Rosarito,"31.245078176638984,-114.6976882011463",282.1,373760.44
Departamento,Mexico|Michoacan|Uruapan,,4036.4,1675059.73
house,Mexico|Quintana Roo|Cozumel,,229.2,411324.44
apartment,Mexico|Quintana Roo|Cozumel,"18.66273400912229,-89.0268318122858",277.8,346268.45
Terreno,Mexico|Michoacan|Patzcuaro,"19.844946976205858,-102.0729996777738",44.0,28844.9
Condo,Mexico|Yucatan|Valladolid,"20.365868223291507,-89.61228159340111",250.7,397245.0
house,Mexico|Oaxaca|Huatulco,"17.30143896789091,-96.8247836429515",216.2,
Townhouse,Mexico|Baja California|Ensenada,"30.884887128969797,-115.15743569784307",,5599398.93
,Mexico|Michoacan|Patzcuaro,"19.268541520229938,-101.98288361362661",233.3,"$217,790.04"
,Mexico|Sonora|Hermosillo,"29.126236532768086,-110.27200169841647",-308.9,24591.32
Apartamento,Mexico|Baja California|Mexicali,"30.201418640381235,-114.76219246300995",188.9,283692.04
land,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.991014218214282,-99.79715717848865",247.2,425565.2
townhouse,Mexico|Jalisco|Zapopan,"20.236103164354997,-104.14634300739819",274.5,"$384,637.09"
Condo,Mexico|Guanajuato|Celaya,"20.8991870419723,-101.5716550981981",304.6,477991.51
Departamento,Mexico|Nuevo Leon|Guadalupe,"24.92668613603309,-100.27209322994905",7145.1,10274446.57
House,Mexico|Chiapas|San Cristobal de las Casas,,174.4,146073.37
,Mexico|Chihuahua|Chihuahua,"28.1078390515423,-106.42831453646615",267.3,304321.21
,Mexico|Chihuahua|Ciudad Juarez,"28.111046995132007,-106.04706783267022",166.1,59485.2
Terreno,Mexico|OAXACA|huatulco,,138.2,214392.03
House,Mexico|Yucatan|Progreso,"21.329934367088175,-89.59519792475707",205.5,186739.13
,Mexico|Sonora|Ciudad Obregon,"999.99,-999.99",69.7,63777.59
Condo,Mexico|MICHOACAN|morelia,"19.885230432960682,-101.67262482626084",285.3,189076.38
land,Mexico|Veracruz|Xalapa,"18.944131016465455,-96.76048726388433",446.5,752831.23
HOUSE,Mexico|Yucatan|Progreso,"20.954026290053385,-88.85047255106979",109.5,125982.48
Apartment,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.89734865263511,-99.198895641789",78.4,111926.62
Terreno,Mexico|Michoacan|Uruapan,"19.231911763302477,-100.95781744343975",101.2,133333.56
land,Mexico|Veracruz|Xalapa,"19.939079874176322,-95.34947300873567",369.4,257050.61
condo,Mexico|Quintana Roo|Cancun,"19.0165286269352,-88.75079983657422",166.2,"$225,376.99"
Terreno,Mexico|Puebla|Atlixco,"18.69050334506811,-97.7082210913628",180.7,276467.83
HOUSE,Mexico|Jalisco|Guadalajara,"20.712284629499333,-103.04674320154729",271.2,"$410,737.27"
Villa,Mexico|Quintana Roo|Cozumel,"18.424101871167107,-88.83708513422906",270.6,421442.93
,Mexico|Jalisco|Zapopan,"20.624550626237866,-103.5492130472833",114.8,15459820.5
Apartment,Mexico|Chiapas|San Cristobal de las Casas,"16.617667180953436,-93.71200675107366",251.7,141968.83
land,Mexico|Michoacan|Morelia,"20.089382577842976,-101.64020912184962",358.9,110448.82
Departamento,Mexico|Nuevo Leon|Apodaca,"25.684066036608737,-99.81085899662246",221.6,267971.0
Condo,Mexico|Coahuila|Torreon,"26.861312618548297,-102.44842757166381",272.3,322828.42
HOUSE,Mexico|Oaxaca|Oaxaca de Juarez,"16.87541710663021,-96.61596928164207",197.3,272493.87
Apartamento,Mexico|Sonora|Hermosillo,"29.784113638256457,-110.80918035026069",121.0,
Terreno,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.865410973370714,-100.75495878121234",109.1,98138.16
villa,Mexico|Veracruz|Xalapa,"18.641700597824393,-96.84757762759276",399.2,168774.42
condo,Mexico|Veracruz|Veracruz,"18.993344029537273,-96.16636434617065",376.7,575280.32
townhouse,Mexico|Oaxaca|Puerto Escondido,"17.170879213476404,-95.96638269237071",240.8,426091.73
Villa,Mexico|Coahuila|Saltillo,"27.78850110259834,-102.08449199398096",-233.6,359402.1
HOUSE,Mexico|Veracruz|Veracruz,"18.808442715791227,-96.38421889630307",4951.7,3912770.24
HOUSE,Mexico|Jalisco|Zapopan,"20.26173142470754,-103.16721036518234",182.0,320610.53
Terreno,Mexico|Guanajuato|San Miguel de Allende,"21.093395742194755,-101.32706124657258",197.9,280652.72
house,Mexico|Jalisco|Guadalajara,"20.05592458821317,-102.93105108380729",294.1,409898.0
Casa,Mexico|Michoacan|Morelia,"19.774211475416116,-101.51122757973279",367.9,"$379,660.62"
Condo,Mexico|Coahuila|Saltillo,"26.883955180555468,-100.92889286139422",,256957.75
Townhouse,Mexico|Jalisco|Tlaquepaque,"20.741311831697548,-102.8067336543116",225.6,155023.72
House,Mexico|Yucatan|Valladolid,"20.64489540276861,-89.03860900219168",147.3,48144.53
,Mexico|Michoacan|Morelia,"19.94754339715735,-102.10932806934859",141.5,185135.51
Townhouse,Mexico|Sonora|Hermosillo,"28.63711891494231,-110.42902566997357",214.4,170121.16
Townhouse,Mexico|Chiapas|Tuxtla Gutierrez,"16.56221073295822,-92.77153632477953",136.2,202639.12
land,Mexico|Quintana Roo|Cancun,"18.43449943012298,-88.04240652820765",380.7,
house,Mexico|Puebla|Puebla de Zaragoza,"19.77772389595798,-97.50450653130379",43.6,61916.83
,Mexico|Chihuahua|Chihuahua,"29.10841662454013,-105.29630206758615",221.1,315191.43
,Mexico|Sonora|Nogales,"30.057583903265996,-110.18952816370512",148.7,9067518.19
Departamento,Mexico|Veracruz|Xalapa,"19.712818081165672,-95.59826657231943",146.1,167678.74
Condo,Mexico|Distrito Federal|Cuauhtemoc,"18.773533820923376,-99.54648262926675",95.8,73359.69
Apartment,Mexico|Coahuila|Saltillo,"27.696992896871258,-102.12164083126162",315.6,448803.19
HOUSE,Mexico|Chihuahua|Delicias,"28.25260293983326,-105.5252434621228",422.9,"$509,774.04"
Terreno,,"19.039050906746922,-89.13123359232702",223.2,188626.28
Villa,Mexico|Chiapas|San Cristobal de las Casas,"16.50840010426261,-93.22345276890101",275.9,328426.55
villa,Mexico|Oaxaca|Huatulco,"17.23415076212679,-97.34757295621284",302.2,332164.16
,Mexico|Coahuila|Torreon,"26.489489997959648,-101.18323041009154",63.7,47044.4
Villa,Mexico|Sonora|Ciudad Obregon,"29.97933005906029,-111.12524742719037",186.6,131436.62
Condo,Mexico|Chiapas|San Cristobal de las Casas,"17.103436263551252,-92.41204185133293",152.6,50076.17
Casa,Mexico|Chiapas|Tuxtla Gutierrez,"16.06728690067051,-92.38866075762414",,288466.58
Townhouse,Mexico|Veracruz|Veracruz,"19.18170774357254,-95.84464801879557",65.4,83689.95
,Mexico|Chihuahua|Ciudad Juarez,"28.44182071809407,-106.71667709796685",76.4,25517.76
Villa,Mexico|Quintana Roo|Cozumel,"19.457837314013922,-88.57558679749073",-404.0,378693.67
Terreno,Mexico|Chihuahua|Delicias,"28.84239184815982,-105.43702315172406",405.2,666795.81
,Mexico|Veracruz|Coatzacoalcos,,85.0,46941.97
villa,Mexico|Coahuila|Saltillo,"27.545260282561838,-101.40053292781953",360.4,528410.15
Condo,Mexico|Jalisco|Tlaquepaque,"20.590785732927298,-102.72747756537923",-377.6,295384.05
,Mexico|Nuevo Leon|San Pedro Garza Garcia,"26.141275222938248,-99.85544747097734",144.9,88868.47
HOUSE,Mexico|Chihuahua,"29.43203389150732,-106.36154755143637",202.9,177826.81
land,,"26.28096872515206,-100.37714230857434",140.2,198119.28
Townhouse,Mexico|Chiapas|Tuxtla Gutierrez,"17.48376413834014,-93.81847140248023",360.1,290189.74
Casa,Mexico|Quintana Roo|Cozumel,"19.638983318055992,-88.45636885843628",140.7,191633.94
condo,Mexico|Michoacan|Patzcuaro,"19.62232338318852,-102.33505818442187",239.1,267611.59
,Mexico|Yucatan|Valladolid,"20.626077416283827,-89.57362869500959",160.8,281299.1
Apartamento,Mexico|Yucatan|Progreso,"19.978156493934836,-88.67309246819863",,23549.74
HOUSE,Mexico|Puebla|Puebla de Zaragoza,"18.781815200292087,-97.74965116465538",,62443.11
,Mexico|Baja California|Ensenada,,376.6,549445.5
condo,Mexico|Michoacan|Patzcuaro,"19.961047669659422,-102.33121059780804",-348.9,414387.4
Terreno,Mexico|Quintana Roo|Cozumel,"18.73152921374185,-89.22252780068487",298.9,322118.5
Apartamento,Mexico|Sonora|Nogales,"28.50742103411092,-110.1395072995518",158.3,217966.81
house,Mexico|Guanajuato|Irapuato,"20.66921271131731,-101.99752617212678",176.1,"$247,434.98"
townhouse,Mexico|Chihuahua|Delicias,"29.22723619144661,-106.35884134519405",187.5,77600.32
Villa,Mexico|Veracruz|Coatzacoalcos,"19.38818588962238,-95.7622488068164",326.1,303896.47
Apartamento,Mexico|Sonora|Nogales,"28.621001200730348,-109.55225865267963",261.3,142820.29
Townhouse,Mexico|Chihuahua|Delicias,"29.237206987763134,-105.86847742085261",335.1,423289.23
Land,Mexico|Guanajuato|Irapuato,"21.33289427958831,-101.22650304499933",184.1,"$279,126.34"
,,"19.7674951495032,-96.79833781754687",318.5,570361.53
Townhouse,Mexico|Michoacan|Morelia,"19.91067498731122,-102.50258612268317",130.4,175450.05
Terreno,Mexico|Coahuila|Torreon,"27.4045338957405,-101.28373327920089",244.5,405673.51
,Mexico|Chiapas|Tuxtla Gutierrez,"17.195812620404883,-92.56200927933965",409.3,"$143,589.85"
Villa,Mexico|Chihuahua|Delicias,"28.3995764210422,-106.72898277142826",334.8,121554.0
Apartment,Mexico|Sonora|Ciudad Obregon,"29.642180262532733,-109.89131060414518",4208.8,2902852.14
land,Mexico|Nuevo Leon|Apodaca,"25.825981141721222,-100.52228143340119",406.9,719159.93
,Mexico|Jalisco|Tlaquepaque,"19.920755396070682,-103.72965993492288",384.7,"$265,861.27"
Casa,Mexico|Guanajuato|San Miguel de Allende,,373.0,119381.0
Townhouse,Mexico|Baja California,"31.447791369926527,-114.49314757484038",322.2,440241.76
Apartamento,Mexico|Guanajuato|Irapuato,"21.090204530245977,-101.91910305821425",309.4,516091.25
house,Mexico|Chiapas|Tuxtla Gutierrez,"16.227437178923132,-93.29780299740055",308.5,372260.8
Casa,Mexico|Chiapas,"16.483116225238277,-93.2424042451678",297.3,467425.5
Apartamento,Mexico|Puebla|Atlixco,"19.175227824942798,-98.62264401615948",312.4,383118.29
Villa,Mexico|Quintana Roo|Cancun,"18.429060276500046,-89.2179160295873",4464.3,3135455.52
Departamento,Mexico|Puebla|Puebla de Zaragoza,"18.604357295118568,-98.81896693357224",66.4,"$31,223.61"
Apartment,Mexico|Quintana Roo|Cancun,"19.056871716815266,-88.47769940286709",,250912.81
Apartamento,Mexico|Yucatan|Merida,"21.281230275450067,-89.37927247698936",-83.4,229220.57
Apartamento,Mexico|Distrito Federal|Cuauhtemoc,"18.80917596697593,-99.48922876516875",136.6,169877.86
Land,Mexico|Baja California|Ensenada,"31.25805734726612,-115.34858152024972",172.6,132072.65
house,Mexico|Sonora|Hermosillo,"28.499263781787427,-110.887596335375",142.7,169559.09
land,Mexico|Chiapas|Tuxtla Gutierrez,"16.062190791654704,-92.7508109587552",180.6,215753.44
townhouse,Mexico|Oaxaca|Puerto Escondido,"17.170879213476404,-95.96638269237071",240.8,426091.73
house,Mexico|Guanajuato|Leon,"20.694467696019224,-100.47574804926127",93.4,
villa,Mexico|Puebla|Atlixco,"19.453443827309957,-97.51507567745098",327.1,237691.39
HOUSE,Mexico|Puebla|Puebla de Zaragoza,"18.274296314502976,-97.45073943586019",192.3,72707.03
,Mexico|Yucatan|Merida,"20.52995530506461,-89.30365451952296",157.2,150122.75
,Mexico|Nuevo Leon|San Pedro Garza Garcia,"25.962598081678763,-100.17393014059603",391.6,599756.64
Villa,Mexico|Distrito Federal|Miguel Hidalgo,"18.804640715649935,-99.1083962160801",177.9,294912.24
Condo,Mexico|Distrito Federal|Cuauhtemoc,,266.8,294569.45
,Mexico|Puebla|Atlixco,"18.70363328571101,-98.57478920720811",272.8,
,Mexico|Quintana Roo|Cancun,"19.90546815255195,-88.91329434549893",192.8,161028.84
,Mexico|Puebla|Puebla de Zaragoza,"18.287343973513302,-98.68304221835427",109.6,195504.78
Terreno,Mexico|Chiapas|San Cristobal de las Casas,"16.470890892322068,-93.74259263731116",61.4,59473.0
house,Mexico|Coahuila|Monclova,"27.579260949766347,-101.69211994655046",276.9,386288.26
Casa,Mexico|Yucatan|Progreso,"20.78213367013796,-89.73513496646662",193.6,119534.66
villa,Mexico|Chiapas|San Cristobal de las Casas,"17.346245791489714,-92.4045526096356",360.4,"$351,404.93"
apartment,Mexico|Yucatan|Valladolid,"20.72266432190221,-88.37406052357203",374.5,
Casa,Mexico|Oaxaca|Puerto Escondido,,240.1,362685.17
HOUSE,Mexico|Nuevo Leon|Apodaca,"25.276688752520222,-100.26780839755149",371.9,598124.33
Apartamento,Mexico|Baja California|Rosarito,"30.65127050458522,-115.87450577458075",170.5,84609.4
House,Mexico|Coahuila|Monclova,"27.56121111662748,-101.56827207072494",166.1,229136.6
apartment,Mexico|Nuevo Leon|Monterrey,"25.394405852681963,-99.9201794164611",249.6,341495.16
Casa,Mexico|Puebla|Atlixco,"19.73771674069475,-98.4856230012935",425.0,735153.03
Villa,Mexico|Michoacan|Morelia,"18.94905397370564,-101.62292465987346",353.1,583666.0
apartment,Mexico|Puebla|Puebla de Zaragoza,"19.3781859235648,-98.70595803044661",301.6,279126.66
Townhouse,Mexico|Quintana Roo,"18.832802396694422,-87.98486505266862",433.2,459845.75
Townhouse,Mexico|Sonora|Hermosillo,"29.130648024444465,-109.95479556679558",137.3,152440.58
Villa,Mexico|Michoacan|Morelia,"19.869169027855946,-101.72350636326615",398.7,177551.23
villa,Mexico|Coahuila|Saltillo,"27.411471069766296,-102.1998828877787",71.9,"$71,073.09"
,Mexico|Chihuahua|Chihuahua,"28.708996538860802,-105.5118663197748",343.9,292812.59
townhouse,Mexico|Oaxaca|Huatulco,"17.133319953978614,-97.06570843708485",37.2,17717.17
Departamento,Mexico|Michoacan|Uruapan,"20.26708461012498,-100.91848894515914",206.0,330512.28
,Mexico|Guanajuato|Celaya,"21.802937357426238,-100.60618311042205",243.6,121437.86
Condo,Mexico|Distrito Federal|Cuauhtemoc,"19.162137231570316,-99.85218247261783",271.0,168842.9
Departamento,Mexico|Baja California|Mexicali,"31.327873068199565,-115.96105756338584",224.4,172205.14
Condo,Mexico|Jalisco|Guadalajara,"21.27444203931801,-103.82335068003776",295.9,325162.31
House,Mexico|Chiapas|San Cristobal de las Casas,"17.34294141123605,-93.55922143611615",178.4,83580.08
HOUSE,Mexico|Coahuila|Saltillo,"26.78543586809466,-101.84420641505831",447.9,668830.7
,Mexico|Chihuahua|Chihuahua,"28.383770153977757,-105.29837752518058",81.0,133311.74
condo,Mexico|Guanajuato|Irapuato,"21.318445198970267,-101.41434151350191",229.5,281875.43
townhouse,Mexico|Yucatan|Progreso,,431.6,663831.0
Townhouse,Mexico|Chihuahua|Delicias,"28.883871964884317,-105.7634868566659",221.0,86300.23
Terreno,Mexico|Distrito Federal|Tlalpan,"19.605822237274133,-98.94210764867209",438.3,216898.8
,Mexico|Nuevo Leon|Guadalupe,"25.62618615992894,-99.3085260377343",415.5,612507.63
Terreno,Mexico|Veracruz|Veracruz,"19.22913629563562,-95.53975625120724",153.9,61895.8
Villa,Mexico|Baja California|Mexicali,"30.736675871279594,-115.11119823484468",340.4,374198.1
House,Mexico|Puebla|Atlixco,"18.876207679055963,-98.07480943931587",191.6,"$95,229.01"
House,Mexico|Chihuahua,"28.10332381564045,-106.22514515437506",146.9,251971.78
,Mexico|Jalisco|Tlaquepaque,"21.31646102609504,-102.85017206632844",262.9,10095288.67
Townhouse,Mexico|Coahuila|Torreon,"27.661862929631187,-101.20766757830324",199.4,74133.89
